play,author,year,subtitle,score
schnitzler-das-weite-land,Schnitzler,1910,Tragikomödie in fünf Akten,0.14468850326179178
schnitzler-der-einsame-weg,Schnitzler,1904,Schauspiel in fünf Akten,0.09252935348575332
schnitzler-der-puppenspieler,Schnitzler,1903,Studie in einem Aufzug,0.06517726852981462
schnitzler-der-tapfere-cassian,Schnitzler,1904,Puppenspiel in einem Akt,0.022252614994463692
schnitzler-die-frau-mit-dem-dolche,Schnitzler,1902,Schauspiel in einem Akt,-0.030969639178652315
schnitzler-die-letzten-masken,Schnitzler,1902,Schauspiel in einem Akt,0.1497703872336627
schnitzler-lebendige-stunden,Schnitzler,1902,Ein Akt,0.12761368876990126
schnitzler-liebelei,Schnitzler,1895,Schauspiel in drei Akten,0.13036064008903472
schnitzler-reigen,Schnitzler,1903,,0.13981110302469224
schober-alfonso-und-estrella,Schober,1854,Romantische Oper in drei Akten,-0.2575330043582028
schoenherr-der-weibsteufel,Schönherr,1914,Drama in fünf Akten,0.07454023038899775
schouwaert-die-ueberschwemmung,Schouwärt,1784,Ein Schauspiel in drey Akten,0.026322601841826488
schroeder-der-vetter-in-lissabon,Schröder,1784,Ein bürgerliches Familiengemälde in drei Aufzügen,0.050505336664400394
simrock-doctor-johannes-faust,Simrock,1846,Puppenspiel in vier Aufzügen,0.01877644590121906
soden-doktor-faust,Soden,1797,Volks-Schauspiel in fünf Akten,-0.15439051867216164
sonnleithner-dir-wie-mir,Sonnleithner,1808,Eine dramatische Kleinigkeit in einem Akt,0.13419969126421422
sonnleithner-fidelio,Sonnleithner,1805,Oper in zwei Aufzügen,-0.0908723166481567
sorge-der-bettler,Sorge,1912,Eine dramatische Sendung,-0.012196620373058195
sorge-der-sieg-des-christos,Sorge,1924,Eine Vision dargestellt in dramatischen Bildern,-0.18721551941477182
sorge-odysseus,Sorge,1911,Dramatische Phantasie,-0.2153473389003126
spiess-klara-von-hoheneichen,Spieß,1790,Ritterschauspiel aus dem funfzehnten Jahrhunderte in vier Aufzügen,-0.10305298208560605
stavenhagen-mudder-mews,Stavenhagen,1904,Niederdeutsches Drama in 5 Akten,0.28175091435444066
stephanie-der-schauspieldirektor,Stephanie,1786,Ein Gelegenheitsstück in einem Aufzuge,0.10573596137447804
stephanie-die-entfuehrung-aus-dem-serail,Stephanie,1782,Ein Singspiel in drey Aufzügen,-0.012376813359928874
stephanie-die-liebe-im-narrenhause,Stephanie,1787,Eine komische Oper in zwey Aufzügen,0.06718691039082644
stephanie-doktor-und-apotheker,Stephanie,1786,Komische Oper in zwei Aufzügen,0.0810092654073759
stramm-die-haidebraut,Stramm,1914,,-0.1074189586011816
stramm-erwachen,Stramm,1914,,-0.0033837483129500134
stramm-geschehen,Stramm,1915,,-0.23182145631461526
stramm-kraefte,Stramm,1915,,0.014031630444519008
stramm-rudimentaer,Stramm,1914,,0.25287124240963804
stramm-sancta-susanna,Stramm,1914,Ein Gesang der Mainacht,-0.11391753780514727
sudermann-die-ehre,Sudermann,1889,Schauspiel in vier Akten,0.06771437954027806
sudermann-heimat,Sudermann,1893,Schauspiel in vier Akten,0.10223701402798266
sudermann-stein-unter-steinen,Sudermann,1905,Schauspiel in vier Akten,0.16003671973857608
thoma-magdalena,Thoma,1912,Ein Volksstück in drei Aufzügen,0.515766647078282
tieck-der-gestiefelte-kater,Tieck,1797,"Ein Kindermärchen in drei Akten, mit Zwischenspielen, einem Prologe und Epiloge",0.060735261966658814
tieck-die-verkehrte-welt,Tieck,1800,Ein historisches Schauspiel in fünf Aufzügen,0.04569877255324868
tieck-ritter-blaubart,Tieck,1797,Ein Ammenmärchen in vier Akten,0.025529622563498902
toller-masse-mensch,Toller,1920,Ein Stück aus der sozialen Revolution des 20. Jahrhunderts,-0.1786530635763939
uhland-ludwig-der-bayer,Uhland,1819,Schauspiel in fünf Aufzügen,-0.20438204786774897
wagner-das-rheingold,Wagner,1853,,-0.17995453089444202
wagner-der-fliegende-hollaender,Wagner,1843,,-0.16118375633715792
wagner-die-meistersinger-von-nuernberg,Wagner,1868,,-0.07537929978813711
wagner-die-reue-nach-der-that,Wagner,1775,,0.0766299385446028
wagner-die-walkuere,Wagner,1853,,-0.2524411204581248
wagner-goetterdaemmerung,Wagner,1853,,-0.24391846214736299
wagner-lohengrin,Wagner,1850,Romantische Oper in drei Aufzügen,-0.23199649051068189
wagner-parsifal,Wagner,1877,Ein Bühnenweihfestspiel,-0.24098693344712407
wagner-siegfried,Wagner,1853,,-0.18566017007382843
wagner-tannhaeuser,Wagner,1845,Große romantische Oper in drei Akten,-0.2654136556271686
wagner-tristan-und-isolde,Wagner,1859,,-0.23549094423248132
wagner-voltaire-am-abend-seiner-apotheose,Wagner,1778,Aus dem Französischen,0.07882864333948193
wallenrodt-noch-jemands-ankunft-auf-st-helena,Wallenrodt,1816,Nachspiel in Einem Akt,-0.0614413007753381
wedekind-der-kammersaenger,Wedekind,1899,,0.09345288099005136
wedekind-der-marquis-von-keith,Wedekind,1900,Schauspiel in fünf Aufzügen,0.0810218043240362
wedekind-die-zensur,Wedekind,1908,Theodizee in einem Akt,0.007460819288295007
wedekind-franziska,Wedekind,1912,Ein modernes Mysterium in fünf Akten,0.025305803118842875
wedekind-hidalla,Wedekind,1904,Schauspiel in fünf Akten,0.08621832296309627
wedekind-koenig-nicolo,Wedekind,1902,Schauspiel in drei Aufzügen und neun Bildern mit einem Prolog,-0.1119291271247623
wedekind-musik,Wedekind,1908,Sittengemälde in vier Bildern,0.051160506585714444
wedekind-tod-und-teufel,Wedekind,1906,Drei Szenen,0.01510841981786326
weidmann-der-dorfbarbier,Weidmann,1796,Komische Oper in einem Akt,0.039912979442121604
weidmann-der-selbstmord-oder-der-unglueckliche-lottospieler,Weidmann,1773,Ein deutsches Originaldrama in Prosa von einem Aufzuge,-0.028959260577278326
weidmann-johann-faust,Weidmann,1775,Ein Allegorisches Drama von fünf Aufzügen,-0.10763530807346487
weisse-die-jagd,Weiße,1770,Eine komische Oper in drey Aufzügen,0.06607786662699261
weisse-die-ueberschwemmung-oder-die-edelmuethige-eifersucht,Weiße,1791,Ein Schauspiel von Einem Aufzuge,0.005302225158034108
weissenthurn-die-schwestern-st-janvier,Weißenthurn,1821,Schauspiel in fünf Aufzügen,-0.16699307466054497
weissenthurn-johann-herzog-von-finnland,Weißenthurn,1811,"Schauspiel in fünf Aufzügen, nach der Geschichte, mit den nöthigen theatralischen Änderungen",-0.15906980774642318
wette-haensel-und-gretel,Wette,1893,Märchenspiel in drei Bildern,-0.02704376198175235
widmann-der-widerspenstigen-zaehmung,Widmann,1874,Komische Oper in vier Akten,-0.04964717894834119
wieland-alceste,Wieland,1773,Ein Singspiel in fünf Aufzügen,-0.20635100232874223
wieland-klementina-von-porretta,Wieland,1760,Ein Drama aus Richardsons Geschichte Sir Karl Grandisons gezogen,0.05597373254056423
wilbrandt-der-meister-von-palmyra,Wilbrandt,1889,Dramatische Dichtung in fünf Aufzügen,-0.1576141400084746
wildenbruch-die-haubenlerche,Wildenbruch,1890,Schauspiel in vier Akten,0.1606432328277356
wildenbruch-die-quitzows,Wildenbruch,1888,Schauspiel in vier Akten,-0.041254543196240355
wildgans-in-ewigkeit-amen,Wildgans,1913,Ein gerichtliches Vorspiel in einem Akt,0.17881464387787163
wohlbrueck-der-vampyr,Wohlbrück,1828,Romantische Oper in vier Aufzügen,-0.12985895449754184
wolf-cyankali,Wolf,1929,Ein Schauspiel,0.07124363615310082
wolf-professor-mamlock,Wolf,1934,Ein Schauspiel,0.0467012849903024
wolfram-faust,Wolfram,1839,Ein dramatisches Gedicht in drei Abschnitten,-0.1733244274857961
wolzogen-der-leukadische-fels,Wolzogen,1792,Ein Schauspiel,-0.26875338928131903
ziese-siebenstein,Ziese,1932,Drama,0.1499513549362677
zschokke-abellino,Zschokke,1795,Schauspiel in fünf Aufzügen,-0.14975334144462726
zweig-jeremias,Zweig,1917,Eine dramatische Dichtung in neun Bildern,-0.18469648903849967
