play,author,year,subtitle,score
dauthendey-die-spielereien-einer-kaiserin,Dauthendey,1910,"Drama in vier Akten, einem Vorspiel und einem Epilog",-0.07432301889320624
dehmel-die-menschenfreunde,Dehmel,1917,Drama in drei Akten,0.04903163846104349
dery-die-selige-insel,Déry,1897,Dramatisches Idyll,-0.16823131579054354
devrient-hans-heiling,Devrient,1833,Romantische Oper in drei Aufzügen und einem Vorspiel,-0.11073190362760572
dobruska-die-zwo-amaryllen,Dobruska,1774,Ein Schäferspiel in einem Aufzuge,-0.06136435705823178
dovsky-mona-lisa,Dovsky,1915,Oper in zwei Akten,-0.08777237177762363
ebner-eschenbach-am-ende,Ebner-Eschenbach,1897,Scene in einem Aufzug,0.09464906525370884
ebner-eschenbach-bettelbriefe,Ebner-Eschenbach,1891,Ein Zweigespräch,0.07492384846997138
ebner-eschenbach-das-gestaendnis,Ebner-Eschenbach,1867,Drama in vier Aufzügen,0.03948168785008031
ebner-eschenbach-die-schauspielerin,Ebner-Eschenbach,1861,Drama in drei Aufzügen,0.01697347630931588
ebner-eschenbach-doctor-ritter,Ebner-Eschenbach,1869,Dramatisches Gedicht in 1 Aufzuge,-0.06514138330115851
ebner-eschenbach-es-wandelt-niemand-ungestraft-unter-palmen,Ebner-Eschenbach,1881,Dramatisches Sprichwort,0.061393741894604045
ebner-eschenbach-ihre-schwester,Ebner-Eschenbach,1903,,0.014381073855573235
eichendorff-das-incognito,Eichendorff,1843,Ein Puppenspiel,-0.004623607072670302
engelke-wala,Engelke,1914,,-0.12212517552705048
ernst-die-groesste-suende,Ernst,1895,Drama in 5 Akten,0.10113831188002093
ertler-anna-iwanowna,Ertler,1920,Ein Schauspiel in drei Akten und einem Vorspiel als Oper vertont von Konrad Steckl,-0.02985984432613835
ertler-belian-und-marpalye,Ertler,1924,Ein Traumspiel,-0.11881648685680939
ertler-das-spiel-von-doktor-faust,Ertler,1923,Ein deutsches Stück im Volkston in einem Vorspiel und drei Akten,-0.028581402575397916
fock-cili-cohrs,Fock,1914,Irnsthaftig Spill,0.25231426475494756
fouque-aslauga,Fouqué,1810,Ein Heldenspiel in drei Abentheuren,-0.13126039356447253
fouque-sigurd-der-schlangentoedter,Fouqué,1808,Ein Heldenspiel in sechs Abentheuren,-0.1506178239849294
fouque-sigurds-rache,Fouqué,1810,Ein Heldenspiel in sechs Abentheuren,-0.15472781825378276
frech-von-ehrimfeld-die-gefahr,Frech,1804,Eine dramatische Situation,0.1111511832472084
freisleben-der-weihnachtstag,Freisleben,1827,Drama in Einem Aufzuge. Bearbeitet nach einer Schreckensscene aus der wirklichen Welt,-0.22495475103889606
freytag-graf-waldemar,Freytag,1848,Schauspiel in fünf Akten,0.016493364520191373
ganghofer-der-herrgottschnitzer-von-ammergau,Ganghofer,1880,Volksschauspiel in 5 Aufzügen,0.3662966260706375
gasser-ramirus,Sager,1775,in einem Aufzuge,-0.01840143154812169
gehe-jessonda,Gehe,1828,Oper in drei Aufzügen,-0.29503460331000747
gellert-das-band,Gellert,1744,Ein Schäferspiel in einem Aufzuge,0.012055152774048434
gemmingen-hornberg-der-deutsche-hausvater,Gemmingen-Hornberg,1779,Ein Schauspiel,0.0749089787130756
gennep-homulus,Gennep,1539,Geistliches Schauspiel,-0.051172740383315006
georg-von-preussen-sappho,Preußen,1887,Drama in einem Aufzuge,-0.17663433108515014
gessner-evander-und-alcimna,Gessner,1762,Ein Schæferspiel,0.03784276849320572
glassbrenner-die-juengste-walpurgisnacht,Glaßbrenner,1844,,-0.08161819029963986
gleich-der-eheteufel-auf-reisen,Gleich,1821,Lokales Zauberspiel mit Gesang in zwei Aufzügen,0.14874330526083832
goethe-der-triumph-der-empfindsamkeit,Goethe,1778,Eine dramatische Grille,-0.022363511396635057
goethe-des-epimenides-erwachen,Goethe,1815,Ein Festspiel,-0.16873647838435885
goethe-die-laune-des-verliebten,Goethe,1768,Ein Schäferspiel in Versen und einem Akte,-0.06933662816923575
goethe-erwin-und-elmire,Goethe,1775,Ein Schauspiel mit Gesang,-0.04417216675380957
goethe-faust-in-urspruenglicher-gestalt,Goethe,1775,,-0.08694473191807137
goethe-goetter-helden-und-wieland,Goethe,1774,Eine Farce,-0.033078508665201636
goethe-goetz-von-berlichingen-mit-der-eisernen-hand,Goethe,1773,Ein Schauspiel,-0.051739580356763404
goethe-iphigenie-auf-tauris,Goethe,1787,Ein Schauspiel,-0.2332759195348422
goethe-pandora,Goethe,1810,Ein Festspiel,-0.19554787388373068
goethe-proserpina,Goethe,1778,Ein Monodrama,-0.22277923551840054
goethe-satyros,Goethe,1773,Drama,-0.14663031223637543
goethe-stella,Goethe,1776,Ein Schauspiel für Liebende,-0.020545762551483937
goethe-torquato-tasso,Goethe,1790,Ein Schauspiel,-0.11160010840598852
gotter-der-dorfjahrmarkt,Gotter,1775,Eine komische Oper in zwei Aufzügen,0.06648923942711661
gotter-die-geisterinsel,Gotter,1798,Ein Singspiel in drey Akten,-0.1225780496165925
gotter-medea,Gotter,1775,,-0.23569267449131082
gottsched-atalanta,Gottsched,1741,"Ein Schäferspiel, in fünf Aufzügen",-0.01922405441757125
grabbe-die-hermannsschlacht,Grabbe,1838,,-0.07462656854878194
grabbe-hannibal,Grabbe,1835,,-0.10095049860575074
grabbe-napoleon,Grabbe,1831,Ein Drama in fünf Aufzügen,-0.04111510264582806
grillparzer-der-traum-ein-leben,Grillparzer,1834,Dramatisches Märchen in vier Aufzügen,-0.19631720796275767
gronemann-hamans-flucht,Gronemann,1901,"Ein Purimspiel, in fünf Bildern",0.012896017084810503
gruebel-k-und-k-landsturm,Grübel,1930,Erinnerungen an den Doppeladler. Drei Akte,0.09664905497147923
guenderode-der-kanonenschlag,Günderode,1801,Ein heroisches komisches tragisches Schauspiel,-0.005020929932792371
guenderode-magie-und-schicksal,Günderode,1805,Drama in drei Akten,-0.16383702116373508
guenderode-nikator,Günderode,1805,Eine dramatische Skizze in drei Akten,-0.17387032466643007
guenderode-udohla,Günderode,1805,Drama in zwei Akten,-0.17036422769681372
haffner-die-fledermaus,Haffner,1874,Operette in drei Aufzügen,0.09355367930714967
hagemann-ludwig-der-springer,Hagemann,1792,Schauspiel in fünf Aufzügen,-0.06793607462798854
halm-der-sohn-der-wildnis,Halm,1842,Dramatisches Gedicht in fünf Akten,-0.1535406635197562
hasenclever-der-sohn,Hasenclever,1914,Ein Drama in fünf Akten,-0.049351817243332326
hauptmann-carl-die-armseligen-besenbinder,Hauptmann,1913,Altes Märchen in fünf Akten,0.06559697239411788
hauptmann-carl-ephraims-breite,Hauptmann,1900,Schauspiel in fünf Akten,0.3099467719373419
hauptmann-carl-gaukler-tod-und-juwelier,Hauptmann,1917,Spiel in fünf Akten,0.03694783147426434
hauptmann-carl-im-goldenen-tempel-buche-verzeichnet,Hauptmann,1909,(Nach einer japanischen Skizze) / Dichtung in drei Vorgängen / (Hinter Schleiern zu spielen),-0.14345168152035515
hauptmann-carl-musik,Hauptmann,1918,Spiel in vier Akten,-0.06995563355795079
hauptmann-die-ratten,Hauptmann,1911,Berliner Tragikomödie,0.13793050554044614
hauptmann-gabriel-schillings-flucht,Hauptmann,1912,Drama,0.08419382452573365
hauptmann-vor-sonnenaufgang,Hauptmann,1889,Soziales Drama,0.14685837863785633
hebbel-demetrius,Hebbel,1864,,-0.1210373135840576
hebbel-der-gehoernte-siegfried,Hebbel,1861,Vorspiel in einem Akt,-0.1156459291066966
hebbel-trauerspiel-in-sizilien,Hebbel,1847,Tragikomödie in einem Akt,-0.041668352497183425
helldorff-der-zwischenact,Helldorff,1828,Zwischenspiel in 1 Acte,0.04323636183701545
hensel-die-entfuehrung-oder-die-zaertliche-mutter,Hensel,1772,Ein Drama in fünf Aufzügen,0.0929191658108878
hensler-die-teufelsmuehle-am-wienerberg,Hensler,1799,Ein österreichisches Volksmährchen mit Gesang in vier Aufzügen,-0.03090914349583026
herzl-das-neue-ghetto,Herzl,1897,Schauspiel in 4 Acten,0.11495642917189078
heym-atalanta-oder-die-angst,Heym,1911,,-0.16075261552436126
heyse-colberg,Heyse,1865,Historisches Schauspiel in fünf Akten,-0.055641952845281235
hofmannsthal-ariadne-auf-naxos,Hofmannsthal,1912,Oper in einem Aufzuge nebst einem Vorspiel / Neue Bearbeitung,-0.018086119888017484
hofmannsthal-das-bergwerk-zu-falun,Hofmannsthal,1899,,-0.09302658797993898
hofmannsthal-das-salzburger-grosse-welttheater,Hofmannsthal,1922,,-0.0772453578246683
hofmannsthal-der-abenteurer-und-die-saengerin,Hofmannsthal,1899,In einem Aufzug (mit einer Verwandlung),-0.06857544900153781
hofmannsthal-der-rosenkavalier,Hofmannsthal,1911,Komödie für Musik,0.06457148645841831
hofmannsthal-der-tod-des-tizian,Hofmannsthal,1901,Ein dramatisches Fragment,-0.15436644042420603
hofmannsthal-der-tor-und-der-tod,Hofmannsthal,1894,,-0.13065472295838404
hofmannsthal-die-frau-im-fenster,Hofmannsthal,1898,,-0.09356571459161361
hofmannsthal-die-frau-ohne-schatten,Hofmannsthal,1919,Oper in drei Akten,-0.15468119976958758
