play,genre,noble,servant
goethe-der-buergergeneral,comedy,0.0,0.14285714285714285
goethe-der-grosskophta,comedy,0.125,0.0
goethe-die-mitschuldigen,comedy,0.0,0.25
goethe-die-natuerliche-tochter,tragedy,0.2727272727272727,0.0
goethe-die-wette,comedy,0.0,0.0
goethe-egmont,tragedy,0.06451612903225806,0.0
goethe-faust-der-tragoedie-zweiter-teil,tragedy,0.021164021164021163,0.015873015873015872
goethe-faust-eine-tragoedie,tragedy,0.017391304347826087,0.017391304347826087
gotter-die-erbschleicher,comedy,0.0,0.0
gottsched-der-sterbende-cato,tragedy,0.0,0.0
gottschedin-das-testament,comedy,0.0,0.16666666666666666
gottschedin-der-witzling,comedy,0.0,0.0
gottschedin-die-pietisterey-im-fischbein-rocke,comedy,0.0,0.0625
goue-iwanette-und-stormond,tragedy,0.14285714285714285,0.0
goue-masuren-oder-der-junge-werther,tragedy,0.02857142857142857,0.02857142857142857
grabbe-don-juan-und-faust,tragedy,0.047619047619047616,0.09523809523809523
grabbe-herzog-theodor-von-gothland,tragedy,0.03278688524590164,0.01639344262295082
grabbe-kaiser-friedrich-barbarossa,tragedy,0.21951219512195122,0.024390243902439025
grabbe-kaiser-heinrich-der-sechste,tragedy,0.1125,0.0625
grabbe-scherz-satire-ironie-und-tiefere-bedeutung,comedy,0.14814814814814814,0.1111111111111111
grillparzer-der-gastfreund,tragedy,0.0,0.08333333333333333
grillparzer-des-meeres-und-der-liebe-wellen,tragedy,0.0,0.0
grillparzer-die-ahnfrau,tragedy,0.1,0.0
grillparzer-die-argonauten,tragedy,0.058823529411764705,0.0
grillparzer-die-juedin-von-toledo,tragedy,0.1875,0.1875
grillparzer-ein-bruderzwist-in-habsburg,tragedy,0.11363636363636363,0.09090909090909091
grillparzer-ein-treuer-diener-seines-herrn,tragedy,0.08108108108108109,0.2972972972972973
grillparzer-koenig-ottokars-glueck-und-ende,tragedy,0.05454545454545454,0.23636363636363636
grillparzer-libussa,tragedy,0.0,0.0
grillparzer-medea,tragedy,0.08333333333333333,0.08333333333333333
grillparzer-sappho,tragedy,0.0,0.0
grillparzer-weh-dem-der-luegt,comedy,0.0,0.1875
grohmann-der-physiognomist-oder-keine-regel-ohn-ausnahme,comedy,0.0,0.0
grohmann-gioconda-oder-weiberrache-kennt-keine-grenzen,tragedy,0.0,0.0
grohmann-wohlthat-fuer-wohlthat,comedy,0.0,0.07142857142857142
gryphius-absurda-comica-oder-herr-peter-squentz,comedy,0.0,0.0
gryphius-cardenio-und-celinde,tragedy,0.058823529411764705,0.11764705882352941
gryphius-carolus-stuardus,tragedy,0.05454545454545454,0.0
gryphius-catharina-von-georgien,tragedy,0.045454545454545456,0.045454545454545456
gryphius-horribilicribrifax-teutsch,comedy,0.0,0.09523809523809523
gryphius-leo-armenius-oder-fuersten-mord,tragedy,0.05405405405405406,0.05405405405405406
gryphius-papinianus,tragedy,0.0,0.029411764705882353
gryphius-verlibtes-gespenste-die-gelibte-dornrose,comedy,0.0,0.0
gutzkow-das-urbild-des-tartueffe,comedy,0.0,0.058823529411764705
gutzkow-richard-savage,tragedy,0.03571428571428571,0.0
gutzkow-uriel-acosta,tragedy,0.0,0.11764705882352941
gutzkow-zopf-und-schwert,comedy,0.23076923076923078,0.0
hafner-der-furchtsame,comedy,0.0,0.0
hafner-die-reisenden-komoedianten,comedy,0.0,0.0
hafner-maegera-die-foerchterliche-hexe,comedy,0.0,0.0
hallmann-mariamne,tragedy,0.03125,0.015625
hartleben-die-sittliche-forderung,comedy,0.0,0.0
hartleben-hanna-jagert,comedy,0.0,0.1111111111111111
hartleben-rosenmontag,tragedy,0.0,0.0
hauptmann-carl-der-antiquar,comedy,0.0,0.0
hauptmann-carl-frau-nadja-bielew,tragedy,0.0,0.0
hauptmann-carl-tobias-buntschuh,tragedy,0.0,0.08333333333333333
hauptmann-florian-geyer,tragedy,0.0989010989010989,0.07692307692307693
hebbel-agnes-bernauer,tragedy,0.03225806451612903,0.03225806451612903
hebbel-der-diamant,comedy,0.21739130434782608,0.0
hebbel-der-rubin,comedy,0.0,0.058823529411764705
hebbel-genoveva,tragedy,0.0,0.05263157894736842
hebbel-gyges-und-sein-ring,tragedy,0.0,0.1111111111111111
hebbel-herodes-und-mariamne,tragedy,0.1111111111111111,0.2222222222222222
hebbel-judith,tragedy,0.03389830508474576,0.01694915254237288
hebbel-kriemhilds-rache,tragedy,0.0,0.0
hebbel-maria-magdalene,tragedy,0.0,0.18181818181818182
hebbel-siegfrieds-tod,tragedy,0.0,0.0
heine-almansor,tragedy,0.37142857142857144,0.0
heine-william-ratcliff,tragedy,0.0,0.0625
heiseler-die-kinder-godunofs,tragedy,0.0,0.16129032258064516
heiseler-peter-und-alexej,tragedy,0.06896551724137931,0.10344827586206896
hensler-der-schornsteinfeger,comedy,0.16666666666666666,0.0
hermes-der-advokat,comedy,0.0,0.0
herzenskron-hoang-puff,comedy,0.0,0.0
herzl-der-fluechtling,comedy,0.0,0.0
heyne-der-stammbaum,comedy,0.0,0.0
heyne-die-beiden-billets,comedy,0.0,0.0
heyse-don-juans-ende,tragedy,0.0,0.13333333333333333
hillern-guten-abend,comedy,0.3333333333333333,0.0
hippel-der-mann-nach-der-uhr,comedy,0.0,0.0
hofmannsthal-alkestis,tragedy,0.06060606060606061,0.0
hofmannsthal-arabella,comedy,0.0,0.05555555555555555
hofmannsthal-der-schwierige,comedy,0.0,0.16666666666666666
hofmannsthal-der-turm,tragedy,0.07216494845360824,0.030927835051546393
hofmannsthal-der-unbestechliche,comedy,0.07692307692307693,0.15384615384615385
hofmannsthal-elektra,tragedy,0.0,0.5
hofmannsthal-oedipus-und-die-sphinx,tragedy,0.029411764705882353,0.29411764705882354
holtei-die-kalkbrenner,comedy,0.0,0.125
holtei-ein-trauerspiel-in-berlin,tragedy,0.0,0.0
holz-ignorabimus,tragedy,0.0,0.0
holz-sonnenfinsternis,tragedy,0.0,0.0
holz-sozialaristokraten,comedy,0.0,0.0
houwald-die-freistatt,comedy,0.0,0.0
huber-die-torte,comedy,0.2222222222222222,0.0
iffland-das-gewissen,tragedy,0.0,0.0
iffland-figaro-in-deutschland,comedy,0.058823529411764705,0.058823529411764705
immermann-andreas-hofer,tragedy,0.07692307692307693,0.05128205128205128
immermann-das-gericht-von-st-petersburg,tragedy,0.02564102564102564,0.02564102564102564
kaffka-der-transport,comedy,0.2,0.0
kaiser-die-industrie-ausstellung,comedy,0.0,0.03225806451612903
kaiser-stadt-und-land,comedy,0.06666666666666667,0.0
kaltneker-die-opferung,tragedy,0.05,0.0
klabund-xyz,comedy,0.0,0.16666666666666666
kleist-amphitryon,comedy,0.06666666666666667,0.0
kleist-der-zerbrochene-krug,comedy,0.0,0.15384615384615385
kleist-die-familie-schroffenstein,tragedy,0.034482758620689655,0.20689655172413793
kleist-penthesilea,tragedy,0.047619047619047616,0.0
kleist-robert-guiskard,tragedy,0.041666666666666664,0.0
kleist-seneka,tragedy,0.0,0.125
klemm-der-auf-den-parnass-versetzte-gruene-hut,comedy,0.0,0.0
klemm-der-besuch,comedy,0.0,0.0
klingemann-faust,tragedy,0.05,0.05
klinger-das-leidende-weib,tragedy,0.0,0.037037037037037035
klinger-die-zwillinge,tragedy,0.0,0.0
klopstock-der-tod-abels,tragedy,0.0,0.0
klopstock-der-tod-adams,tragedy,0.0,0.0
koerner-die-braut,comedy,0.0,0.0
koerner-zriny,tragedy,0.0,0.09090909090909091
koller-der-zauberstein,comedy,0.0,0.0
kotzebue-blind-geladen,comedy,0.14285714285714285,0.0
kotzebue-das-posthaus-in-treuenbrietzen,comedy,0.0,0.0
kotzebue-der-freimaurer,comedy,0.5,0.0
kotzebue-der-hyperboreische-esel,comedy,0.3333333333333333,0.0
kotzebue-der-verschwiegene-wider-willen,comedy,0.0,0.0
kotzebue-der-weibliche-jacobiner-clubb,comedy,0.1,0.0
kotzebue-der-wirrwarr,comedy,0.0,0.1
kotzebue-die-alten-liebschaften,comedy,0.3333333333333333,0.0
kotzebue-die-beiden-klingsberg,comedy,0.07692307692307693,0.07692307692307693
kotzebue-die-deutschen-kleinstaedter,comedy,0.0,0.23076923076923078
kotzebue-die-indianer-in-england,comedy,0.0,0.0
kotzebue-die-spanier-in-peru,tragedy,0.02040816326530612,0.0
kotzebue-maedchenfreundschaft,comedy,0.0,0.0
kotzebue-pagenstreiche,comedy,0.0625,0.0625
kotzebue-sultan-wampum,comedy,0.0,0.0
kotzebue-wer-weiss-wozu-das-gut-ist,comedy,0.0,0.0
kraus-die-letzten-tage-der-menschheit,tragedy,0.03783783783783784,0.02918918918918919
krueger-die-candidaten,comedy,0.1,0.0
krueger-die-geistlichen-auf-dem-lande,comedy,0.0,0.0
kurz-prinzessin-pumphia,comedy,0.0,0.0
laddey-maentelchen-nach-dem-winde,comedy,0.0,0.0
lasker-schueler-ichundich,tragedy,0.029411764705882353,0.029411764705882353
lassalle-franz-von-sickingen,tragedy,0.109375,0.234375
laube-gottsched-und-gellert,comedy,0.14285714285714285,0.0
laube-monaldeschi,tragedy,0.0,0.16666666666666666
laube-struensee,tragedy,0.375,0.0
laufs-jacoby-pension-schoeller,comedy,0.0,0.1
lautensack-die-pfarrhauskomoedie,comedy,0.0,0.0
lautensack-hahnenkampf,comedy,0.0,0.17647058823529413
leisewitz-julius-von-tarent,tragedy,0.0625,0.0625
lenz-der-hofmeister,comedy,0.041666666666666664,0.0
lenz-der-neue-menoza,comedy,0.08695652173913043,0.043478260869565216
lenz-die-freunde-machen-den-philosophen,comedy,0.058823529411764705,0.0
lessing-damon,comedy,0.0,0.0
lessing-der-freigeist,comedy,0.0,0.0
lessing-der-junge-gelehrte,comedy,0.0,0.0
lessing-der-misogyn,comedy,0.0,0.0
lessing-der-schatz,comedy,0.0,0.0
lessing-die-alte-jungfer,comedy,0.0,0.09090909090909091
lessing-die-juden,comedy,0.14285714285714285,0.0
lessing-emilia-galotti,tragedy,0.07692307692307693,0.07692307692307693
lessing-minna-von-barnhelm,comedy,0.07692307692307693,0.07692307692307693
lessing-miss-sara-sampson,tragedy,0.0,0.09090909090909091
lessing-philotas,tragedy,0.0,0.0
lieberkuehn-die-lissabonner,tragedy,0.0,0.0
linhart-miss-jenny-love,tragedy,0.0,0.0
ludwig-der-erbfoerster,tragedy,0.0,0.058823529411764705
ludwig-die-makkabaeer,tragedy,0.02631578947368421,0.0
malss-der-alte-buerger-capitain,comedy,0.0,0.0
malss-die-jungfern-koechinnen,comedy,0.0,0.18181818181818182
martini-rhynsolt-und-sapphira,tragedy,0.0,0.0
milius-hydropathie-auf-der-eisenbahn,comedy,0.0,0.0
moeller-der-graf-von-walltron-oder-die-subordination,tragedy,0.05,0.05
moser-das-stiftungsfest,comedy,0.0,0.09090909090909091
muellner-der-neun-und-zwanzigste-februar,tragedy,0.0,0.0
muellner-die-schuld,tragedy,0.0,0.125
muellner-koenig-yngurd,tragedy,0.08108108108108109,0.0
mylius-die-schaeferinsel,comedy,0.0,0.0
nestroy-das-haus-der-temperamente,comedy,0.0,0.0
nestroy-das-maedl-aus-der-vorstadt,comedy,0.0,0.0
nestroy-der-boese-geist-lumpazivagabundus,comedy,0.0,0.0392156862745098
nestroy-der-talisman,comedy,0.03333333333333333,0.16666666666666666
nestroy-der-unbedeutende,comedy,0.0,0.05555555555555555
nestroy-der-zerrissene,comedy,0.09523809523809523,0.2857142857142857
nestroy-einen-jux-will-er-sich-machen,comedy,0.0,0.13636363636363635
nestroy-eulenspiegel,comedy,0.0,0.05263157894736842
nestroy-freiheit-in-kraehwinkel,comedy,0.0,0.058823529411764705
nestroy-zu-ebener-erde-und-erster-stock,comedy,0.0,0.05128205128205128
neuber-das-schaeferfest,comedy,0.0,0.0
niebergall-datterich,comedy,0.047619047619047616,0.14285714285714285
panizza-das-liebeskonzil,comedy,0.045454545454545456,0.045454545454545456
panizza-nero,tragedy,0.03571428571428571,0.03571428571428571
pelzel-yariko,tragedy,0.0,0.2222222222222222
pfeffel-der-einsiedler,tragedy,0.25,0.0
pfeffel-serena,tragedy,0.0,0.0
pfeil-lucie-woodvil,tragedy,0.0,0.0
platen-berengar,comedy,0.0,0.0
